"product-card__thumbnail href","product-card__background src","text-12-medium","text-12-book","product-card__image src","text-18-medium","ellipsis","ellipsis 2","ellipsis 3","ellipsis 4","product-card__footer src","quick-add-button__add","quick-add-button__select","product-price__prices","text-14-medium","quick-add__variant","quick-add__price","quick-add__variant 2","quick-add__price 2","quick-add__variant 3","quick-add__price 3","quick-add__variant 4","quick-add__price 4","quick-add__variant 5","quick-add__price 5","tablescraper-selected-row","quick-add__variant 6","quick-add__price 6","text-body-small"
"https://watchhouse.com/products/espresso-1kg-coffee-beans","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Espresso","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Rituals_1kg_Set.png?v=1777359829&width=660","1829 Espresso 1kg Set.","Collection.","Rituals","Origins.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£60.00","Select Grind.","Whole Bean","£60.00","Pour Over","£60.00","French Press","£60.00","Aeropress","£60.00","Espresso","£60.00",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/espresso-bundle","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Espresso","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-1829_Espresso_Set.png?v=1777359830&width=660","1829 Espresso Set.","Collection.","Rituals","Origins.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£36.00","Select Grind.","Whole Bean","£36.00","Pour Over","£36.00","French Press","£36.00","Aeropress","£36.00","Espresso","£36.00",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/1829-espresso-x-watchhouse-monoware-mug-bundle","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-1829_Espreso_x_Monoware_Mug.png?v=1777359828&width=660","1829 Espresso x WatchHouse Monoware Mug Set.","Designed wtih.","Ian McIntyre","Monoware.","Matt glazed stoneware","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£32.00","Select Grind.","Whole Bean","£32.00","Pour Over","£32.00","Aeropress","£32.00","Moka Pot","£32.00","French Press","£32.00",".product-card {
      --overlay-text-color: #000000;
    }","Espresso","£32.00",""
"https://watchhouse.com/products/1829-espresso-4","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","Brew.","Espresso","https://watchhouse.com/cdn/shop/files/WatchHouse-1829_Espresso-Flat_Lay.png?v=1776800924&width=660","1829 Espresso.","Tasting Notes.","Orange, Caramel, Milk Chocolate","Origin.","Peru","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£12.00","Select Grind.","Whole Bean","£12.00","French Press","£12.00","Aeropress","£12.00","v60","£12.00","Kalita Wave","£12.00",".product-card {
      --overlay-text-color: #000000;
    }","Moka Pot","£12.00",""
"https://watchhouse.com/products/1829-x-watchhouse-kinto-travel-tumbler","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-1829_Espresso_x_Kinto_Travel_Tumbler-Flat_Lay.png?v=1776800930&width=660","1829 Espresso. x WatchHouse Kinto Travel Tumbler Set.","Coffee.","1829 Espresso.","Origin.","Varies","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Grind.","£42.00","Select Grind.","Whole Bean","£42.00","Pour Over","£42.00","Aeropress","£42.00","Moka Pot","£42.00","French Press","£42.00",".product-card {
      --overlay-text-color: #000000;
    }","Espresso","£42.00",""
"https://watchhouse.com/products/acaia-pearl-coffee-scales","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Acaia_Pearl_Scales.png?v=1777359828&width=660","Acaia Pearl Coffee Scales.","Model.","AP007 / AP008 / AP009","Dimensions.","W: 160mm L: 160mm H: 32mm","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£170.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/aeropress-papers","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Aeropress_Filter_Papers.png?v=1777359824&width=660","Aeropress Papers.","Paper.","350 micro-filters","Brewer.","AeroPress","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£8.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/aeropress-x-sibarist-disc-63-papers","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Sibarist_x_Aeropress.png?v=1777359829&width=660","Aeropress x Sibarist Disc 63 Papers.","Brew type.","Immersion","Brewer.","AeroPress","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Filter papers..","£49.00","Select Filter papers..","25 pack","£49.00","100 pack","£63.00","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","","From"
"https://watchhouse.com/products/aeropress","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Aeropress.png?v=1777359827&width=660","AeroPress.","Paper.","100 micro-filters","Stirrer.","Perfect length for the AeroPress","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£35.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
"https://watchhouse.com/products/alessi-capsule-crusher","https://watchhouse.com/cdn/shop/files/WH_Product_Background_EH.jpg?v=1776797507&width=660","","","https://watchhouse.com/cdn/shop/files/WatchHouse-Clearcut-Alessi_Capsule_Crsuher.png?v=1777359829&width=660","Alessi Capsule Crusher.","Designed by.","Michele De Lucchi","Brand.","Alessi","https://watchhouse.com/cdn/shop/t/221/assets/quick-add.js?v=155274711125262715871772143432","Add to cart","Select Title.","£24.00","","","","","","","","","","","",".product-card {
      --overlay-text-color: #000000;
    }","","",""
